,자재,기말 재고 수량,기말 재고 금액,자재 내역,특별 재고,저장 위치,배치,단가,유효기간,남은일,유효기한구간,3평판,_mat_key,원가율,대분류,소분류,평판 * 1.38배,출하원가,출하판가,판가,who,26_1,26_2,26_3,26_4,26_5,26_6,26_7,26_8,26_9,26_10,26_11,26_12,27_1,27_2,27_3,27_4,27_5,27_6,27_7,27_8,27_9,27_10,27_11,27_12,28_1,28_2,28_3,28_4,28_5,28_6,28_7,28_8,28_9,28_10,28_11,28_12,부진재고량,부진재고진입시점,부진재고진입분기,회전월
23,2302997,185,50445,[판촉물_부자재]멜라토닝 VIP 고급 대관세트(2025)_리플렛,,5000,,272.6756756756757,,,미상,0,2302997,1.9171254770429087,세트포장재,세트포장재,133.85999999999999,36500.365945945945,19039.111619468087,26312.83168684892,자사,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3820409382937398
24,2303084,8495,5171436.624042427,[EA]이지듀멜라비토닝미스트로즈쇼핑백,W,5000,,608.7624042427813,,,미상,76.66666666666667,2303084,1.9171254770429087,세트포장재,세트포장재,3871.5899999999997,2356878.436642309,1229381.417578208,2697495.1227601264,자사,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.194188950792827
25,2303105,106,40729,[부자재]카카오선물하기전용선물패키지_VER1,,5000,,384.2358490566038,,,미상,0,2303105,1.9171254770429087,세트포장재,세트포장재,1386.072,532578.5517735849,277800.57077696687,21244.827470981658,자사,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07647510374641432
26,2303245,705,304809,이지듀멜라비토닝앰플쿠션19호페어세트(본품+리필2)39g(면세)V3단상자,,5000,,432.3531914893617,,,미상,0,2303245,1.9171254770429087,세트포장재,세트포장재,144.20999999999998,62349.653744680836,32522.46892094551,158992.72303769912,자사,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8887039733721664
27,2303246,1023,474688,이지듀멜라비토닝앰플쿠션21호내추럴세트(본품+리필2)39g(면세)V3단상자,,5000,,464.0156402737048,,,미상,0,2303246,1.9171254770429087,세트포장재,세트포장재,687.516,319018.1769384164,166404.43244773394,247604.03306109505,자사,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4879653709877299
28,2303247,715,309132,이지듀멜라비토닝앰플쿠션23호베이지세트(본품+리필2)39g(면세)V3단상자,,5000,,432.35244755244753,,,미상,0,2303247,1.9171254770429087,세트포장재,세트포장재,81.41999999999999,35202.136279720275,18361.936504030084,161247.66151291467,자사,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.781626136084501
29,2303248,15383,12152570,이지듀멜라비토닝원데이앰플로즈에디션_세트단상자(박스형),W,5000,00,790,,,미상,0,2303248,1.9171254770429087,세트포장재,세트포장재,604.4399999999999,477507.6,249074.7766476594,6338953.889833474,자사,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.45000330884786
30,2303260,764,229200,DW-EGF멜라선와이드패치(4g*4매입)_지퍼백ver*3ea(면세)슬리브,,5000,,300,,,미상,0,2303260,1.9171254770429087,세트포장재,세트포장재,126.40799999999999,37922.399999999994,19780.86486988521,119553.98994203137,자사,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0439212708056465
31,2303273,1100,605000,[부자재_단상자]이지듀멜라비토닝유브이선세럼40ML더블기획(면세),,5000,,550,2099-12-31,,미상,0,2303273,1.9171254770429087,세트포장재,세트포장재,0,0,0,315576.63139148767,자사,605000,605000,605000,605000,605000,605000,605000,605000,605000,605000,605000,605000,605000,605000,605000,605000,605000,605000,605000,605000,605000,605000,605000,605000,605000,605000,605000,605000,605000,605000,605000,605000,605000,605000,605000,605000,0,0,0,0
32,2303293,1100,670000,멀티비타앰플클렌저200ml_단상자,,5000,00,609.0909090909091,2099-12-31,,미상,0,2303293,1.9171254770429087,세트포장재,세트포장재,0,0,0,349481.55873106903,자사,670000,670000,670000,670000,670000,670000,670000,670000,670000,670000,670000,670000,670000,670000,670000,670000,670000,670000,670000,670000,670000,670000,670000,670000,670000,670000,670000,670000,670000,670000,670000,670000,670000,670000,670000,670000,0,0,0,0
