창고코드,자재코드,자재명,배치,SAP재고,WMS재고,차이
5000.0,9304300.0,[단종][EA]디더블유이지에프링클아이크림스틱프리미엄8g,N04F13G,0,205,-205.0
5000.0,9313777.0,멜라_토닝원데이앰플_30ml(인도네시아)_V2,FCA,0,200,-200.0
5000.0,2303248.0,이지듀멜라비토닝원데이앰플로즈에디션_세트단상자(박스형),0,14613,14793,-180.0
5000.0,2302479.0,[EA]이지듀가정의달패키지(2024)_VIP싸바리(패드),,0,171,-171.0
5000.0,9312367.0,이지듀디더블유이지에프멜라토닝원데이앰플부스터샷20ML(리필)？,AJA,0,159,-159.0
5000.0,9311128.0,이지듀멜라비토닝앰플쿠션23호베이지본품13g+리필13g기획세트(올리브영),TGA,11290,11440,-150.0
5000.0,9309904.0,[EA]멜라비토닝앰플쿠션23호베이지(리필)15g_V3,HBA,1915,2050,-135.0
5000.0,9309148.0,[EA]리프트피디알엔넥패치(6g*4매입),814,1538,1650,-112.0
5000.0,9309902.0,[EA]멜라비토닝앰플쿠션19호페어(리필)15g_V3,CBA,5912,6020,-108.0
5000.0,9311330.0,멜라비토닝앰플쿠션22호라이트베이지(리필)_15g,EHA,3754,3861,-107.0
5000.0,9311190.0,이지듀멜라토닝원데이앰플시카알로에30ml,AFA,2745,2845,-100.0
5000.0,9306492.0,[단종][EA]디더블유이지에프10피피엠항산화앰플30ml,AKY,247,336,-89.0
5000.0,9310233.0,[EA]멜라비토닝앰플쿠션21호내추럴(미니)_8g,FHA,650,739,-89.0
5000.0,2303824.0,[부자재]기미앰플30ML*6세트(26신년)_슬리브,251230,0,80,-80.0
5000.0,2303880.0,[부자재]기미앰플30ML*6세트(26신년)_패드,251230,0,80,-80.0
5000.0,2303831.0,[부자재]이지듀항산화*4세트(26신년)_슬리브,251230,0,75,-75.0
5000.0,2303866.0,[부자재]이지듀항산화*4세트(26신년)_패드,251230,0,75,-75.0
5000.0,7302015.0,[판촉물_부자재]멜라토닝 VIP 고급 대관세트(2025)_쇼핑백,0,0,55,-55.0
5000.0,9307043.0,[EA]디더블유이지에프멜라토닝원데이앰플8ml_AD(2024),FCA,57,99,-42.0
5000.0,7302500.0,[판촉물]25년크리스마스양말_아트토큰,20251216,0,37,-37.0
5000.0,9308235.0,[EA]이지듀멜라5스텝스타터키트(GWP),CFZ,29,64,-35.0
